"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","02.01.2022 18:00 - 02.01.2022 18:15 (UTC)","0","6618","35404"
"Germany (DE)","02.01.2022 18:15 - 02.01.2022 18:30 (UTC)","0","6781","34965"
"Germany (DE)","02.01.2022 18:30 - 02.01.2022 18:45 (UTC)","0","6716","34120"
"Germany (DE)","02.01.2022 18:45 - 02.01.2022 19:00 (UTC)","0","6816","33920"
"Germany (DE)","02.01.2022 19:00 - 02.01.2022 19:15 (UTC)","0","6848","33909"
"Germany (DE)","02.01.2022 19:15 - 02.01.2022 19:30 (UTC)","0","7026","34055"
"Germany (DE)","02.01.2022 19:30 - 02.01.2022 19:45 (UTC)","0","7031","33488"
"Germany (DE)","02.01.2022 19:45 - 02.01.2022 20:00 (UTC)","0","6906","33025"
"Germany (DE)","02.01.2022 20:00 - 02.01.2022 20:15 (UTC)","0","6876","32835"
"Germany (DE)","02.01.2022 20:15 - 02.01.2022 20:30 (UTC)","0","6771","32338"
"Germany (DE)","02.01.2022 20:30 - 02.01.2022 20:45 (UTC)","0","6604","32107"
"Germany (DE)","02.01.2022 20:45 - 02.01.2022 21:00 (UTC)","0","6471","31447"
"Germany (DE)","02.01.2022 21:00 - 02.01.2022 21:15 (UTC)","0","6273","30667"
"Germany (DE)","02.01.2022 21:15 - 02.01.2022 21:30 (UTC)","0","6112","30508"
"Germany (DE)","02.01.2022 21:30 - 02.01.2022 21:45 (UTC)","0","5958","30232"
"Germany (DE)","02.01.2022 21:45 - 02.01.2022 22:00 (UTC)","0","5805","30192"
"Germany (DE)","02.01.2022 22:00 - 02.01.2022 22:15 (UTC)","0","5701","30109"
"Germany (DE)","02.01.2022 22:15 - 02.01.2022 22:30 (UTC)","0","5834","30158"
"Germany (DE)","02.01.2022 22:30 - 02.01.2022 22:45 (UTC)","0","5982","29226"
"Germany (DE)","02.01.2022 22:45 - 02.01.2022 23:00 (UTC)","0","6359","29333"
"Germany (DE)","02.01.2022 23:00 - 02.01.2022 23:15 (UTC)","0","6188","29025"
"Germany (DE)","02.01.2022 23:15 - 02.01.2022 23:30 (UTC)","0","6224","28935"
"Germany (DE)","02.01.2022 23:30 - 02.01.2022 23:45 (UTC)","0","6274","28519"
"Germany (DE)","02.01.2022 23:45 - 03.01.2022 00:00 (UTC)","0","6330","27875"
"Germany (DE)","03.01.2022 00:00 - 03.01.2022 00:15 (UTC)","0","6233","26939"
"Germany (DE)","03.01.2022 00:15 - 03.01.2022 00:30 (UTC)","0","6042","26171"
"Germany (DE)","03.01.2022 00:30 - 03.01.2022 00:45 (UTC)","0","6014","25486"
"Germany (DE)","03.01.2022 00:45 - 03.01.2022 01:00 (UTC)","0","5902","27320"
"Germany (DE)","03.01.2022 01:00 - 03.01.2022 01:15 (UTC)","0","5689","27089"
"Germany (DE)","03.01.2022 01:15 - 03.01.2022 01:30 (UTC)","0","5733","26216"
"Germany (DE)","03.01.2022 01:30 - 03.01.2022 01:45 (UTC)","0","5739","25739"
"Germany (DE)","03.01.2022 01:45 - 03.01.2022 02:00 (UTC)","0","5659","25218"
"Germany (DE)","03.01.2022 02:00 - 03.01.2022 02:15 (UTC)","0","5714","24335"
"Germany (DE)","03.01.2022 02:15 - 03.01.2022 02:30 (UTC)","0","6028","25637"
"Germany (DE)","03.01.2022 02:30 - 03.01.2022 02:45 (UTC)","0","5624","25268"
"Germany (DE)","03.01.2022 02:45 - 03.01.2022 03:00 (UTC)","0","5488","25530"
"Germany (DE)","03.01.2022 03:00 - 03.01.2022 03:15 (UTC)","0","5531","25968"
"Germany (DE)","03.01.2022 03:15 - 03.01.2022 03:30 (UTC)","0","5747","27091"
"Germany (DE)","03.01.2022 03:30 - 03.01.2022 03:45 (UTC)","0","5820","26876"
"Germany (DE)","03.01.2022 03:45 - 03.01.2022 04:00 (UTC)","0","6026","27313"
"Germany (DE)","03.01.2022 04:00 - 03.01.2022 04:15 (UTC)","0","6217","29050"
"Germany (DE)","03.01.2022 04:15 - 03.01.2022 04:30 (UTC)","0","6172","30004"
"Germany (DE)","03.01.2022 04:30 - 03.01.2022 04:45 (UTC)","0","5981","30865"
"Germany (DE)","03.01.2022 04:45 - 03.01.2022 05:00 (UTC)","0","5997","33001"
"Germany (DE)","03.01.2022 05:00 - 03.01.2022 05:15 (UTC)","0","6242","35581"
"Germany (DE)","03.01.2022 05:15 - 03.01.2022 05:30 (UTC)","0","6232","35918"
"Germany (DE)","03.01.2022 05:30 - 03.01.2022 05:45 (UTC)","0","6217","35969"
"Germany (DE)","03.01.2022 05:45 - 03.01.2022 06:00 (UTC)","0","6018","36861"
"Germany (DE)","03.01.2022 06:00 - 03.01.2022 06:15 (UTC)","0","6057","37922"
"Germany (DE)","03.01.2022 06:15 - 03.01.2022 06:30 (UTC)","0","6055","37447"
"Germany (DE)","03.01.2022 06:30 - 03.01.2022 06:45 (UTC)","0","6051","37340"
"Germany (DE)","03.01.2022 06:45 - 03.01.2022 07:00 (UTC)","2","6069","37081"
